specie,longitud,latitud
euphonia_affinis_godmani,-108.39,26.65333333
euphonia_affinis_godmani,-107.92751,25.712054
euphonia_affinis_godmani,-107.397337,24.807372
euphonia_affinis_godmani,-107.157255,24.807178
euphonia_affinis_godmani,-107.124041,24.434298
euphonia_affinis_godmani,-107.0938889,24.4419444
euphonia_affinis_godmani,-107.006846,24.446582
euphonia_affinis_godmani,-106.966246,24.969695
euphonia_affinis_godmani,-106.8948,24.2125
euphonia_affinis_godmani,-106.865,24.374444
euphonia_affinis_godmani,-106.426125,23.939314
euphonia_affinis_godmani,-106.183419,23.537981
euphonia_affinis_godmani,-105.893393,23.204719
euphonia_affinis_godmani,-105.853615,23.0597
euphonia_affinis_godmani,-105.687623,23.208655
euphonia_affinis_godmani,-105.592006,23.018913
euphonia_affinis_godmani,-105.393,20.296257
euphonia_affinis_godmani,-105.3255556,20.3172222
euphonia_affinis_godmani,-105.2377,21.6031
euphonia_affinis_godmani,-105.142644,21.720925
euphonia_affinis_godmani,-105.122108,21.1555564
euphonia_affinis_godmani,-105.039195,21.217805
euphonia_affinis_godmani,-104.441847,19.633703
euphonia_affinis_godmani,-104.4336111,19.5005556
euphonia_affinis_godmani,-99.718,16.833
euphonia_affinis_godmani,-99.5836446,17.1674377
euphonia_affinis_godmani,-99.4672966,17.3625171
euphonia_affinis_godmani,-99.4169814,17.3174302
